"customer_id","payments","last_name","email","activebool","last_update"
1,"114.70","Smith","mary.smith@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
2,"123.74","Johnson","patricia.johnson@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
3,"130.76","Williams","linda.williams@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
4,"81.78","Jones","barbara.jones@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
5,"134.65","Brown","elizabeth.brown@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
6,"84.75","Davis","jennifer.davis@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
7,"130.72","Miller","maria.miller@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
8,"85.77","Wilson","susan.wilson@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
9,"78.80","Moore","margaret.moore@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
10,"94.76","Taylor","dorothy.taylor@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
11,"99.77","Anderson","lisa.anderson@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
12,"93.74","Thomas","nancy.thomas@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
13,"131.73","Jackson","karen.jackson@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
14,"96.77","White","betty.white@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
15,"134.68","Harris","helen.harris@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
16,"109.75","Martin","sandra.martin@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
17,"87.82","Thompson","donna.thompson@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
18,"78.81","Garcia","carol.garcia@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
19,"98.82","Martinez","ruth.martinez@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
20,"103.73","Robinson","sharon.robinson@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
21,"146.68","Clark","michelle.clark@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
22,"94.81","Rodriguez","laura.rodriguez@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
23,"106.73","Lewis","sarah.lewis@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
24,"85.77","Lee","kimberly.lee@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
25,"104.73","Walker","deborah.walker@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
26,"146.68","Hall","jessica.hall@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
27,"123.70","Allen","shirley.allen@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
28,"105.70","Young","cynthia.young@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
29,"138.65","Hernandez","angela.hernandez@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
30,"123.66","King","melissa.king@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
31,"104.74","Wright","brenda.wright@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
32,"112.74","Lopez","amy.lopez@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
33,"88.80","Hill","anna.hill@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
34,"89.76","Scott","rebecca.scott@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
35,"118.70","Green","virginia.green@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
36,"90.75","Adams","kathleen.adams@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
37,"91.79","Baker","pamela.baker@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
38,"127.66","Gonzalez","martha.gonzalez@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
39,"141.71","Nelson","debra.nelson@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
40,"105.74","Carter","amanda.carter@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
41,"118.75","Mitchell","stephanie.mitchell@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
42,"111.71","Perez","carolyn.perez@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
43,"89.78","Roberts","christine.roberts@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
44,"101.79","Turner","marie.turner@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
45,"124.74","Phillips","janet.phillips@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
46,"131.69","Campbell","catherine.campbell@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
47,"92.81","Parker","frances.parker@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
48,"67.86","Evans","ann.evans@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
49,"116.76","Edwards","joyce.edwards@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
50,"144.70","Collins","diane.collins@sakilacustomer.org",True,"2013-05-26 14:49:45.738"
